ticker,date,surprise
JPM,2026-04-14 06:00:00-04:00,0.07780000000000001
JPM,2026-01-13 06:00:00-05:00,-0.0391
JPM,2025-10-14 06:00:00-04:00,0.0401
JPM,2025-07-15 06:00:00-04:00,0.10619999999999999
JPM,2025-04-11 06:00:00-04:00,0.0915
JPM,2025-01-15 06:00:00-05:00,0.1918
JPM,2024-10-11 06:00:00-04:00,0.09630000000000001
JPM,2024-07-12 06:00:00-04:00,0.2016
JPM,2024-04-12 06:00:00-04:00,0.07400000000000001
JPM,2024-01-12 06:00:00-05:00,-0.1565
JPM,2023-10-13 06:00:00-04:00,0.0901
JPM,2023-07-14 06:00:00-04:00,0.2646
JPM,2023-04-14 06:00:00-04:00,0.2169
JPM,2023-01-13 06:00:00-05:00,0.15039999999999998
JPM,2022-10-14 06:00:00-04:00,0.0944
JPM,2022-07-14 06:00:00-04:00,-0.047599999999999996
JPM,2022-04-13 06:00:00-04:00,-0.0285
JPM,2022-01-14 06:00:00-05:00,0.0973
JPM,2021-10-13 06:00:00-04:00,0.18309999999999998
JPM,2021-07-13 06:00:00-04:00,0.19079999999999997
JPM,2021-04-14 06:00:00-04:00,0.49979999999999997
JPM,2021-01-15 06:00:00-05:00,0.15810000000000002
JPM,2020-10-13 06:00:00-04:00,0.3823
JPM,2020-07-14 06:00:00-04:00,-0.10439999999999999
GS,2026-04-13 07:00:00-04:00,0.0706
GS,2026-01-15 07:00:00-05:00,0.1909
GS,2025-10-14 07:00:00-04:00,0.10490000000000001
GS,2025-07-16 07:00:00-04:00,0.1291
GS,2025-04-14 07:00:00-04:00,0.14880000000000002
GS,2025-01-15 07:00:00-05:00,0.431
GS,2024-10-15 07:00:00-04:00,0.2133
GS,2024-07-15 07:00:00-04:00,0.0014000000000000002
GS,2024-04-15 07:00:00-04:00,0.331
GS,2024-01-16 07:00:00-05:00,0.2833
GS,2023-10-17 07:00:00-04:00,-0.0102
GS,2023-07-19 07:00:00-04:00,-0.1955
GS,2023-04-18 07:00:00-04:00,0.0907
GS,2023-01-17 07:00:00-05:00,-0.4339
GS,2022-10-18 07:00:00-04:00,0.0973
GS,2022-07-18 07:00:00-04:00,0.1782
GS,2022-04-14 07:00:00-04:00,0.16920000000000002
GS,2022-01-18 07:00:00-05:00,-0.09369999999999999
GS,2021-10-15 08:00:00-04:00,0.4914
GS,2021-07-13 07:00:00-04:00,0.4752
GS,2021-04-14 07:00:00-04:00,0.8663
GS,2021-01-19 07:00:00-05:00,0.6681999999999999
GS,2020-10-14 07:00:00-04:00,0.7805
GS,2020-07-15 07:00:00-04:00,-0.868
BAC,2026-04-15 06:00:00-04:00,0.0889
BAC,2026-01-14 06:00:00-05:00,0.0269
BAC,2025-10-15 06:00:00-04:00,0.1143
BAC,2025-07-16 06:00:00-04:00,0.0361
BAC,2025-04-15 06:00:00-04:00,0.10289999999999999
BAC,2025-01-16 06:00:00-05:00,0.0684
BAC,2024-10-15 06:00:00-04:00,0.0634
BAC,2024-07-16 06:00:00-04:00,0.0358
BAC,2024-04-16 06:00:00-04:00,-0.0184
BAC,2024-01-12 06:00:00-05:00,-0.45640000000000003
BAC,2023-10-17 06:00:00-04:00,0.1005
BAC,2023-07-18 06:00:00-04:00,0.0487
BAC,2023-04-18 06:00:00-04:00,0.1393
BAC,2023-01-13 06:00:00-05:00,0.1057
BAC,2022-10-17 06:00:00-04:00,0.0492
BAC,2022-07-18 06:00:00-04:00,-0.0206
BAC,2022-04-18 06:00:00-04:00,0.07490000000000001
